日,S,I ,R,dS/dt,dI/dt,dR/dt,R_0
1,1000,1,0,-1.8,0.8,1,1.8
2,998.2,1.8,1,-3.234168,1.434168,1.8,1.79676
3,994.965832,3.234168,2.8,-5.792195979,2.558027979,3.234168,1.790938498
4,989.173636,5.792195979,6.034168,-10.3130776,4.520881624,5.792195979,1.780512545
5,978.8605584,10.3130776,11.82636398,-18.17111682,7.858039219,10.3130776,1.761949005
6,960.6894416,18.17111682,22.13944158,-31.42224013,13.25112331,18.17111682,1.729240995
7,929.2672015,31.42224013,40.3105584,-52.55938287,21.13714274,31.42224013,1.672680963
8,876.7078186,52.55938287,71.73279853,-82.94259943,30.38321656,52.55938287,1.578074073
9,793.7652192,82.94259943,124.2921814,-118.5065111,35.56391168,82.94259943,1.428777395
10,675.2587081,118.5065111,207.2347808,-144.0405965,25.53408535,118.5065111,1.215465675
11,531.2181116,144.0405965,325.7412919,-137.7305526,-6.310043894,144.0405965,0.956192601
12,393.4875591,137.7305526,469.7818884,-97.55146608,-40.17908648,137.7305526,0.708277606
13,295.936093,97.55146608,607.5124409,-51.96419953,-45.58726656,97.55146608,0.532684967
14,243.9718935,51.96419953,705.063907,-22.82004747,-29.14415206,51.96419953,0.439149408
15,221.151846,22.82004747,757.0281065,-9.084052122,-13.73599535,22.82004747,0.398073323
16,212.0677939,9.084052122,779.848154,-3.467582807,-5.616469315,9.084052122,0.381722029
17,208.6002111,3.467582807,788.9322061,-1.30200931,-2.165573497,3.467582807,0.37548038
18,207.2982017,1.30200931,792.3997889,-0.485827539,-0.81618177,1.30200931,0.373136763
19,206.8123742,0.485827539,793.7017983,-0.180855264,-0.304972275,0.485827539,0.372262274
20,206.6315189,0.180855264,794.1876258,-0.067266716,-0.113588548,0.180855264,0.371936734
21,206.5642522,0.067266716,794.3684811,-0.025010818,-0.042255898,0.067266716,0.371815654
22,206.5392414,0.025010818,794.4357478,-0.009298288,-0.01571253,0.025010818,0.371770635
23,206.5299431,0.009298288,794.4607586,-0.003456675,-0.005841613,0.009298288,0.371753898
24,206.5264864,0.003456675,794.4700569,-0.001285011,-0.002171664,0.003456675,0.371747676
25,206.5252014,0.001285011,794.4735136,-0.000477697,-0.000807314,0.001285011,0.371745363
26,206.5247237,0.000477697,794.4747986,-0.000177581,-0.000300116,0.000477697,0.371744503
